cell_id,projection,treatment,ahp,ap_peak,fr_at_20_percent_input,fr_at_40_percent_input,fr_at_60_percent_input,fr_at_max_input,half_width,i_amp_at_half_max_fr,input_resistance,io_slope,max_firing_rate,peak_to_trough,resting_membrane_potential,rheobase,rise_time,threshold
cusbla024_5_7_21.adicht,nonspecific,cus,10.180415815450434,90.36771232618861,0.0,0.0,0.0,22.0,9.700000000000001,120.0,235.15625,0.7200000000000004,24.0,16.5,-78.0,110.0,7.5,-24.8898589788741
cusbla025_5_7_21.adicht,nonspecific,cus,35.87790267987138,80.63997605059842,12.0,24.0,34.0,34.0,9.3,50.0,,0.3648484848484849,38.0,14.200000000000001,-60.0,10.0,8.1,-31.855468908931204
cusbla026_5_7_21.adicht,nonspecific,cus,4.215230528090547,94.02426738673806,0.0,0.0,0.0,24.0,8.8,120.0,246.09375,0.5200000000000001,24.0,19.900000000000002,-80.0,110.0,6.5,-30.664892386738106
cusbla027_5_7_21.adicht,nonspecific,cus,8.58951915941261,87.31790032177446,18.0,30.0,34.0,2.0,6.9,30.0,,0.44285714285714284,34.0,14.200000000000001,-51.0,10.0,7.1000000000000005,-38.01693339588422
cusbla028_5_7_21.adicht,nonspecific,cus,2.981889356878309,81.36939286210048,0.0,0.0,20.0,32.0,9.0,90.0,199.21875,0.20000000000000007,32.0,19.900000000000002,-71.5,90.0,7.800000000000001,-26.75784101656164
eebla001.adicht,nonspecific,enriched-environment,4.409354426213312,89.84171596183307,0.0,5.333333333333333,14.666666666666666,6.0,8.8,70.0,237.890625,0.2590476190476191,18.666666666666668,19.900000000000002,-63.5,60.0,6.7,-35.43546596183297
eebla002.adicht,nonspecific,enriched-environment,13.83395857600702,79.8308728693251,0.0,2.6666666666666665,14.666666666666666,20.666666666666668,9.200000000000001,90.0,307.2916666666667,0.3880952380952378,29.333333333333332,15.3,-62.5,60.0,8.3,-34.331358128898486
eebla003.adicht,nonspecific,enriched-environment,,,,,,,,,585.9375,,,,-48.0,,,
eebla004.adicht,nonspecific,enriched-environment,12.596668908784455,93.3849053990077,0.0,0.0,6.0,20.0,6.800000000000001,100.0,284.2447916666667,0.23111111111111093,20.0,15.4,-66.5,70.0,5.300000000000001,-31.60779768280693
eebla005.adicht,nonspecific,enriched-environment,4.1086695309207855,86.5403942320929,0.0,0.0,13.333333333333334,22.666666666666668,9.9,80.0,244.01041666666666,0.2452380952380954,22.666666666666668,19.900000000000002,-69.5,70.0,6.6000000000000005,-34.81462958853732
eebla006.adicht,nonspecific,enriched-environment,6.736842213267799,63.601420334694154,,,,,11.4,,189.19270833333334,,,17.8,-39.5,,9.8,-30.171564030242372
eebla007.adicht,nonspecific,enriched-environment,8.673840673555972,82.1139005064297,0.0,0.0,0.0,8.0,9.200000000000001,140.0,85.15625,,8.0,15.4,-64.5,130.0,7.800000000000001,-34.87086042514551
eebla008.adicht,nonspecific,enriched-environment,,,,,,,,,82.68229166666667,,,,-77.0,,,
eebla009.adicht,nonspecific,enriched-environment,22.748715521280914,90.52525651855144,0.0,0.0,0.6666666666666666,11.333333333333334,9.0,120.0,167.05729166666666,0.20761904761904768,11.333333333333334,12.8,-72.5,100.0,7.6000000000000005,-44.29848807661956
eebla010.adicht,nonspecific,enriched-environment,,,,,,,,,111.328125,,,,-84.5,,,
eebla011.adicht,nonspecific,enriched-environment,,,,,,,,,114.32291666666667,,,,-84.0,,,
eebla012.adicht,nonspecific,enriched-environment,18.59423821145633,99.41397889258039,,,,,7.2,,137.890625,,,13.100000000000001,-84.0,,5.5,-31.601478892580296
eebla014.adicht,nonspecific,enriched-environment,14.722991755649005,96.59374999999963,0.6666666666666666,15.333333333333334,34.0,7.333333333333333,7.5,130.0,327.6041666666667,0.5904761904761907,38.0,14.100000000000001,-63.5,40.0,7.0,-37.531249999999666
eebla015.adicht,nonspecific,enriched-environment,2.595614623434603,86.52214750472544,0.0,0.0,0.0,20.0,8.4,120.0,94.53125,,20.0,18.3,-70.0,120.0,6.5,-30.8113887321957
eebla016.adicht,nonspecific,enriched-environment,,,,,,,,,107.94270833333333,,,,-80.5,,,
eebla018.adicht,nonspecific,enriched-environment,32.3125000000003,90.3817315447554,10.0,18.666666666666668,28.0,3.3333333333333335,8.3,130.0,540.8482142857142,0.37857142857142867,29.333333333333332,13.8,-48.0,10.0,8.200000000000001,-35.9374999999997
